,WFBN_INFO_1_matrix_1,WFBN_INFO_1_matrix_2,WFBN_tal_2_matrix_1,WFBN_tal_2_matrix_2,WFBN_tal_2_matrix_3,WFBN_advnet_5_matrix_1,WFBN_advnet_5_matrix_2,WFBN_advnet_5_matrix_3,Bhea_Orgres_1_matrix_1,Bhea_Orgres_1_matrix_2,Bhea_Orgres_1_matrix_3,Bhea_Orgres_1_matrix_4,Bhea_Orgres_1_matrix_5,Bhea_Opres_2_matrix_1,Bhea_Opres_2_matrix_2,Bhea_Opres_2_matrix_3,Bhea_Opres_5_matrix_1,Bhea_Opres_5_matrix_2,Bhea_Opres_5_matrix_3,Tech_rc_1_matrix_1,Tech_rc_1_matrix_2,Tech_rc_1_matrix_3,Tech_rc_2_matrix_1,Tech_rc_2_matrix_2,Adapt_main_1_matrix_1,Adapt_main_1_matrix_2,Adapt_main_1_matrix_3,Adapt_main_1_matrix_4,Mind_Creat_1_matrix_1,Mind_Creat_1_matrix_2,Mind_Creat_1_matrix_3,Mind_Trust_2_matrix_1,Mind_Trust_2_matrix_2,Mind_Trust_2_matrix_3,Mind_Hope_3_matrix_1,Mind_Hope_3_matrix_2,Mind_Hope_3_matrix_3,Mind_belon_4_matrix_1,Mind_belon_4_matrix_2,Mind_belon_4_matrix_3,Mind_belon_4_matrix_4,Mind_FO_5_matrix_1,Mind_FO_5_matrix_2,V2_Econ_Condition,Recoded_Sales
170,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,-2.0,4.0
171,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0
173,3.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,5.0,1.0,1.0,3.0,5.0,2.0,3.0,1.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,0.0,2.0
175,4.0,4.0,2.0,2.0,1.0,4.0,1.0,4.0,5.0,1.0,3.0,2.0,5.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,-2.0,-4.0
177,2.0,2.0,5.0,5.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,-1.0,-4.0
178,4.0,3.0,4.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,4.0
180,3.0,2.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0,1.0,2.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,-2.0,0.0
181,4.0,4.0,3.0,4.0,2.0,5.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,-2.0,-2.0
182,4.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,-1.0,0.0
184,4.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,1.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-2.0,1.0
185,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,-1.0,0.0
186,5.0,5.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,1.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,-2.0,-4.0
187,4.0,4.0,3.0,5.0,5.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,-1.0,-4.0
188,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,2.0,5.0,5.0,2.0,0.0
189,4.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,-1.0,-3.0
190,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,4.0
191,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,-1.0,0.0
192,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,4.0,5.0,5.0,3.0,1.0,4.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,-2.0,-2.0
193,3.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,1.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,-1.0
194,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0
195,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,-1.0,-2.0
196,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,1.0,5.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,-1.0,-4.0
197,5.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,-1.0,-3.0
199,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0
200,5.0,3.0,1.0,5.0,1.0,1.0,5.0,5.0,4.0,1.0,5.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,5.0,-2.0,-4.0
201,3.0,4.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,-2.0,0.0
202,4.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,1.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,-1.0,1.0
203,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,-1.0,4.0
204,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,3.0
205,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,1.0,5.0,5.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,4.0,-1.0,-1.0
209,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,-3.0
210,3.0,3.0,5.0,2.0,1.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,-1.0,-2.0
211,4.0,4.0,3.0,5.0,2.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,-1.0,3.0
212,4.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,-1.0,1.0
213,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,5.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,-1.0,0.0
214,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,-1.0,-1.0
215,3.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0
216,4.0,4.0,5.0,4.0,1.0,4.0,4.0,5.0,4.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,-1.0,-4.0
217,4.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,2.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,-1.0,-4.0
218,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,-1.0,0.0
219,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,0.0
220,4.0,2.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,2.0,3.0,2.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,-2.0,-4.0
222,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,-1.0,-4.0
224,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-2.0,0.0
225,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,5.0,1.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,5.0,5.0,1.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,1.0,-4.0
226,3.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,-2.0,3.0
227,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,-1.0,-4.0
228,4.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,-1.0,0.0
229,4.0,2.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,5.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,-2.0,-4.0
230,3.0,3.0,4.0,4.0,1.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,0.0
232,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-2.0,-4.0
234,3.0,3.0,5.0,5.0,1.0,3.0,3.0,4.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,1.0,5.0,3.0,3.0,-2.0,-3.0
235,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,-1.0,-4.0
236,4.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,-1.0,-4.0
237,1.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,-1.0,-3.0
238,3.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,-1.0,1.0
239,4.0,3.0,5.0,4.0,5.0,1.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,2.0,3.0,0.0,-4.0
240,4.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0
241,3.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,3.0,2.0,5.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,-1.0,2.0
242,3.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,1.0,5.0,4.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,-2.0,-4.0
243,4.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,-1.0,-4.0
244,3.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,2.0,4.0,4.0,3.0,-1.0,1.0
246,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0
247,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0
248,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0
249,3.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,0.0
250,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,-2.0,0.0
251,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0
252,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,-2.0,-4.0
253,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,-1.0,0.0
254,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,5.0,5.0,-1.0,-4.0
255,3.0,2.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,3.0,1.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,-2.0,-1.0
